医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间
湖南市第8专科医院,二级乙等,专科医院,510,湖南市北区,055-25721532,湖南,1957-02-18,2357,123万人次,医院数据库,2025-06-12 22:43:38
湖南市第9眼科医院,二级乙等,眼科医院,399,湖南市中心区,047-85509182,湖南,1986-12-11,1427,161万人次,医院数据库,2025-06-12 22:43:38
湖南市第10口腔医院,二级乙等,口腔医院,225,湖南市中心区,073-22929733,湖南,1986-10-09,1934,174万人次,医院数据库,2025-06-12 22:43:38
湖南市第11眼科医院,一级甲等,眼科医院,57,湖南市北区,049-24495912,湖南,1977-03-12,2525,27万人次,医院数据库,2025-06-12 22:43:38
湖南市第12妇产医院,二级乙等,妇产医院,429,湖南市东区,077-28362620,湖南,1998-09-02,277,111万人次,医院数据库,2025-06-12 22:43:38
湖南市第13专科医院,一级甲等,专科医院,82,湖南市北区,067-17663488,湖南,2014-02-22,723,44万人次,医院数据库,2025-06-12 22:43:38
湖南市第14眼科医院,三级乙等,眼科医院,976,湖南市中心区,024-92279018,湖南,1990-07-14,2710,115万人次,医院数据库,2025-06-12 22:43:38
安徽市第1专科医院,三级乙等,专科医院,883,安徽市北区,049-63215574,安徽,1968-05-03,1971,47万人次,医院数据库,2025-06-12 22:43:38
安徽市第2肿瘤医院,三级甲等,肿瘤医院,1130,安徽市东区,048-86016749,安徽,2009-04-18,2682,68万人次,医院数据库,2025-06-12 22:43:38
安徽市第3综合医院,二级乙等,综合医院,310,安徽市南区,024-71420499,安徽,1980-11-02,435,125万人次,医院数据库,2025-06-12 22:43:38
安徽市第4眼科医院,三级甲等,眼科医院,1489,安徽市南区,016-90502749,安徽,1984-03-01,1488,46万人次,医院数据库,2025-06-12 22:43:38
安徽市第5综合医院,二级甲等,综合医院,442,安徽市南区,038-73347139,安徽,2017-10-08,910,153万人次,医院数据库,2025-06-12 22:43:38
安徽市第6眼科医院,三级乙等,眼科医院,542,安徽市中心区,068-59945633,安徽,2001-12-02,2818,80万人次,医院数据库,2025-06-12 22:43:38
安徽市第7心血管医院,一级甲等,心血管医院,220,安徽市西区,089-47148302,安徽,2011-12-02,1836,137万人次,医院数据库,2025-06-12 22:43:38
安徽市第8专科医院,一级甲等,专科医院,298,安徽市中心区,097-83111693,安徽,2005-10-05,213,77万人次,医院数据库,2025-06-12 22:43:38
安徽市第9口腔医院,三级甲等,口腔医院,1674,安徽市中心区,072-59341810,安徽,1988-01-14,473,143万人次,医院数据库,2025-06-12 22:43:38
安徽市第10口腔医院,二级甲等,口腔医院,458,安徽市北区,021-36569904,安徽,1981-07-02,949,108万人次,医院数据库,2025-06-12 22:43:38
安徽市第11肿瘤医院,三级甲等,肿瘤医院,858,安徽市东区,048-57342734,安徽,1997-06-16,2991,99万人次,医院数据库,2025-06-12 22:43:38
安徽市第12肿瘤医院,三级乙等,肿瘤医院,1142,安徽市东区,071-60336114,安徽,1957-01-05,699,165万人次,医院数据库,2025-06-12 22:43:38
安徽市第13妇产医院,三级乙等,妇产医院,810,安徽市西区,047-75909338,安徽,2019-04-19,1808,89万人次,医院数据库,2025-06-12 22:43:38
安徽市第14精神病医院,三级甲等,精神病医院,1829,安徽市北区,010-63295422,安徽,1989-11-11,2094,168万人次,医院数据库,2025-06-12 22:43:38
安徽市第15儿童医院,三级甲等,儿童医院,1612,安徽市南区,053-16994133,安徽,2005-10-20,1430,47万人次,医院数据库,2025-06-12 22:43:38
安徽市第16精神病医院,二级乙等,精神病医院,468,安徽市北区,069-16658003,安徽,1974-11-05,347,18万人次,医院数据库,2025-06-12 22:43:38
河北市第1心血管医院,三级乙等,心血管医院,950,河北市北区,071-81173691,河北,1982-02-17,1599,92万人次,医院数据库,2025-06-12 22:43:38
河北市第2心血管医院,二级乙等,心血管医院,688,河北市南区,026-13778809,河北,1973-07-21,2212,50万人次,医院数据库,2025-06-12 22:43:38
河北市第3口腔医院,一级甲等,口腔医院,90,河北市南区,038-24231495,河北,1995-03-21,1496,64万人次,医院数据库,2025-06-12 22:43:38
河北市第4综合医院,三级甲等,综合医院,854,河北市中心区,080-45799661,河北,1993-06-16,1231,71万人次,医院数据库,2025-06-12 22:43:38
河北市第5中医医院,一级甲等,中医医院,161,河北市中心区,014-40060912,河北,1981-04-23,1024,92万人次,医院数据库,2025-06-12 22:43:38
河北市第6心血管医院,二级甲等,心血管医院,290,河北市东区,076-72429929,河北,2015-08-26,1976,123万人次,医院数据库,2025-06-12 22:43:38
河北市第7妇产医院,三级甲等,妇产医院,1471,河北市东区,069-18443114,河北,1991-06-20,1747,87万人次,医院数据库,2025-06-12 22:43:38
河北市第8妇产医院,二级甲等,妇产医院,479,河北市东区,062-76984245,河北,2007-01-12,707,65万人次,医院数据库,2025-06-12 22:43:38
河北市第9精神病医院,二级甲等,精神病医院,286,河北市东区,062-20572747,河北,1961-04-05,1615,200万人次,医院数据库,2025-06-12 22:43:38
河北市第10肿瘤医院,三级乙等,肿瘤医院,639,河北市中心区,038-53941359,河北,2005-12-17,340,102万人次,医院数据库,2025-06-12 22:43:38
陕西市第1儿童医院,一级甲等,儿童医院,56,陕西市西区,076-95651017,陕西,1997-11-02,775,59万人次,医院数据库,2025-06-12 22:43:38
陕西市第2综合医院,三级甲等,综合医院,881,陕西市东区,099-92139268,陕西,1959-04-05,2488,65万人次,医院数据库,2025-06-12 22:43:38
陕西市第3妇产医院,三级甲等,妇产医院,1903,陕西市北区,015-96362029,陕西,2011-06-09,1901,82万人次,医院数据库,2025-06-12 22:43:38
陕西市第4专科医院,三级乙等,专科医院,976,陕西市东区,091-83009956,陕西,1989-06-13,1414,130万人次,医院数据库,2025-06-12 22:43:38
陕西市第5口腔医院,二级甲等,口腔医院,339,陕西市中心区,061-21597181,陕西,2011-03-27,1392,156万人次,医院数据库,2025-06-12 22:43:38
陕西市第6综合医院,二级甲等,综合医院,295,陕西市西区,015-12163910,陕西,2009-12-04,2452,73万人次,医院数据库,2025-06-12 22:43:38
陕西市第7眼科医院,三级乙等,眼科医院,506,陕西市西区,071-64024131,陕西,2002-05-21,1588,172万人次,医院数据库,2025-06-12 22:43:38
陕西市第8儿童医院,二级乙等,儿童医院,429,陕西市南区,018-12073981,陕西,1958-04-20,2049,171万人次,医院数据库,2025-06-12 22:43:38
陕西市第9儿童医院,二级甲等,儿童医院,676,陕西市西区,043-54702205,陕西,2011-03-22,2538,19万人次,医院数据库,2025-06-12 22:43:38
陕西市第10妇产医院,二级甲等,妇产医院,244,陕西市东区,061-40733935,陕西,2014-10-26,1893,145万人次,医院数据库,2025-06-12 22:43:38
陕西市第11口腔医院,二级甲等,口腔医院,278,陕西市中心区,090-18178903,陕西,1967-05-08,1570,112万人次,医院数据库,2025-06-12 22:43:38
陕西市第12专科医院,三级甲等,专科医院,1380,陕西市北区,077-21775409,陕西,1970-04-17,145,77万人次,医院数据库,2025-06-12 22:43:38
陕西市第13口腔医院,一级甲等,口腔医院,146,陕西市东区,065-17877292,陕西,1964-06-14,1759,63万人次,医院数据库,2025-06-12 22:43:38
陕西市第14口腔医院,一级甲等,口腔医院,144,陕西市北区,058-79040344,陕西,1980-05-24,2735,146万人次,医院数据库,2025-06-12 22:43:38
福建市第1综合医院,三级乙等,综合医院,1130,福建市西区,021-84394422,福建,1978-07-12,2096,149万人次,医院数据库,2025-06-12 22:43:38
福建市第2儿童医院,三级甲等,儿童医院,1700,福建市东区,038-97776580,福建,1990-11-17,2326,101万人次,医院数据库,2025-06-12 22:43:38
福建市第3眼科医院,三级乙等,眼科医院,794,福建市中心区,073-85928629,福建,1966-08-09,793,78万人次,医院数据库,2025-06-12 22:43:38
福建市第4儿童医院,一级甲等,儿童医院,59,福建市中心区,074-65227292,福建,1964-12-27,284,176万人次,医院数据库,2025-06-12 22:43:38
福建市第5专科医院,三级甲等,专科医院,1027,福建市南区,079-50810942,福建,2011-05-11,2838,80万人次,医院数据库,2025-06-12 22:43:38
福建市第6眼科医院,二级甲等,眼科医院,615,福建市东区,077-16757641,福建,1997-07-23,1857,128万人次,医院数据库,2025-06-12 22:43:38
福建市第7专科医院,二级乙等,专科医院,340,福建市北区,080-24927424,福建,1995-03-04,264,161万人次,医院数据库,2025-06-12 22:43:38
福建市第8中医医院,二级乙等,中医医院,613,福建市南区,024-64323032,福建,1967-08-28,848,88万人次,医院数据库,2025-06-12 22:43:38
福建市第9中医医院,二级甲等,中医医院,616,福建市中心区,098-63549110,福建,2004-02-09,922,75万人次,医院数据库,2025-06-12 22:43:38
福建市第10口腔医院,一级甲等,口腔医院,73,福建市南区,015-47810325,福建,2008-02-05,794,187万人次,医院数据库,2025-06-12 22:43:38
福建市第11口腔医院,一级甲等,口腔医院,285,福建市中心区,048-39426179,福建,2019-03-14,1656,38万人次,医院数据库,2025-06-12 22:43:38
福建市第12眼科医院,三级甲等,眼科医院,1477,福建市西区,086-75200694,福建,1958-01-24,1613,27万人次,医院数据库,2025-06-12 22:43:38
福建市第13中医医院,二级甲等,中医医院,405,福建市北区,012-47026397,福建,2005-06-04,2937,92万人次,医院数据库,2025-06-12 22:43:38
福建市第14专科医院,三级甲等,专科医院,898,福建市西区,011-12214231,福建,2004-11-22,1493,197万人次,医院数据库,2025-06-12 22:43:38
福建市第15心血管医院,三级甲等,心血管医院,1885,福建市西区,012-15486461,福建,1990-12-13,266,172万人次,医院数据库,2025-06-12 22:43:38
福建市第16综合医院,三级甲等,综合医院,1627,福建市南区,056-98461820,福建,1991-11-27,1046,65万人次,医院数据库,2025-06-12 22:43:38
重庆市第1妇产医院,三级甲等,妇产医院,1682,重庆市北区,078-48199919,重庆,1982-03-12,1428,199万人次,医院数据库,2025-06-12 22:43:38
重庆市第2综合医院,三级甲等,综合医院,983,重庆市北区,022-68178659,重庆,1955-07-25,2793,107万人次,医院数据库,2025-06-12 22:43:38
重庆市第3专科医院,三级乙等,专科医院,1079,重庆市中心区,051-69023921,重庆,1967-06-07,1210,160万人次,医院数据库,2025-06-12 22:43:38
重庆市第4心血管医院,二级甲等,心血管医院,287,重庆市西区,020-62457355,重庆,1953-09-10,2975,85万人次,医院数据库,2025-06-12 22:43:38
重庆市第5精神病医院,三级乙等,精神病医院,1154,重庆市东区,051-77447349,重庆,1954-02-23,1088,133万人次,医院数据库,2025-06-12 22:43:38
重庆市第6肿瘤医院,一级甲等,肿瘤医院,294,重庆市东区,075-65817825,重庆,1971-12-15,1762,130万人次,医院数据库,2025-06-12 22:43:38
重庆市第7妇产医院,二级甲等,妇产医院,596,重庆市中心区,033-55979694,重庆,2008-01-26,534,176万人次,医院数据库,2025-06-12 22:43:38
重庆市第8心血管医院,二级乙等,心血管医院,303,重庆市南区,012-29743750,重庆,2011-04-26,2034,152万人次,医院数据库,2025-06-12 22:43:38
重庆市第9心血管医院,二级乙等,心血管医院,732,重庆市中心区,080-45553543,重庆,1993-11-25,1920,36万人次,医院数据库,2025-06-12 22:43:38
重庆市第10眼科医院,二级乙等,眼科医院,270,重庆市北区,043-72877505,重庆,2015-01-22,1667,91万人次,医院数据库,2025-06-12 22:43:38
重庆市第11综合医院,三级甲等,综合医院,887,重庆市南区,013-19696888,重庆,2008-05-20,1493,128万人次,医院数据库,2025-06-12 22:43:38
重庆市第12专科医院,二级乙等,专科医院,566,重庆市北区,076-31127212,重庆,1968-12-07,2091,197万人次,医院数据库,2025-06-12 22:43:38
重庆市第13精神病医院,二级乙等,精神病医院,379,重庆市西区,046-97233698,重庆,1981-08-08,2642,99万人次,医院数据库,2025-06-12 22:43:38
重庆市第14妇产医院,二级乙等,妇产医院,492,重庆市西区,094-98889348,重庆,2012-07-28,550,168万人次,医院数据库,2025-06-12 22:43:38
重庆市第15专科医院,三级乙等,专科医院,527,重庆市中心区,010-94315061,重庆,1959-03-02,1924,132万人次,医院数据库,2025-06-12 22:43:38
重庆市第16眼科医院,二级乙等,眼科医院,459,重庆市南区,093-91049860,重庆,1985-02-21,1594,51万人次,医院数据库,2025-06-12 22:43:38
重庆市第17妇产医院,二级乙等,妇产医院,443,重庆市中心区,092-83628170,重庆,2004-03-17,1530,15万人次,医院数据库,2025-06-12 22:43:38
重庆市第18眼科医院,三级乙等,眼科医院,966,重庆市东区,060-21196695,重庆,2010-03-03,2866,76万人次,医院数据库,2025-06-12 22:43:38
重庆市第19妇产医院,一级甲等,妇产医院,184,重庆市西区,069-25030132,重庆,2017-03-06,1674,185万人次,医院数据库,2025-06-12 22:43:38
辽宁市第1眼科医院,三级乙等,眼科医院,925,辽宁市东区,031-43811008,辽宁,2010-10-02,2672,113万人次,医院数据库,2025-06-12 22:43:38
辽宁市第2眼科医院,三级乙等,眼科医院,582,辽宁市南区,098-87603988,辽宁,1989-01-25,1635,31万人次,医院数据库,2025-06-12 22:43:38
辽宁市第3眼科医院,三级甲等,眼科医院,1542,辽宁市中心区,047-91966312,辽宁,1963-11-02,888,153万人次,医院数据库,2025-06-12 22:43:38
辽宁市第4中医医院,三级乙等,中医医院,989,辽宁市中心区,023-64865645,辽宁,1961-09-15,2104,172万人次,医院数据库,2025-06-12 22:43:38
辽宁市第5儿童医院,二级乙等,儿童医院,688,辽宁市西区,018-58896220,辽宁,2019-10-14,2560,200万人次,医院数据库,2025-06-12 22:43:38
辽宁市第6儿童医院,三级乙等,儿童医院,1189,辽宁市东区,086-64322804,辽宁,1953-02-11,936,129万人次,医院数据库,2025-06-12 22:43:38
辽宁市第7综合医院,二级乙等,综合医院,323,辽宁市南区,051-59873572,辽宁,1976-03-07,1530,147万人次,医院数据库,2025-06-12 22:43:38
辽宁市第8精神病医院,二级甲等,精神病医院,483,辽宁市北区,044-36960584,辽宁,1991-03-19,2805,192万人次,医院数据库,2025-06-12 22:43:38
辽宁市第9肿瘤医院,二级乙等,肿瘤医院,591,辽宁市中心区,012-36309519,辽宁,2016-08-07,140,153万人次,医院数据库,2025-06-12 22:43:38
辽宁市第10肿瘤医院,三级甲等,肿瘤医院,1483,辽宁市中心区,029-80417144,辽宁,2013-02-14,970,130万人次,医院数据库,2025-06-12 22:43:38
辽宁市第11精神病医院,三级甲等,精神病医院,1073,辽宁市北区,078-67315326,辽宁,1960-11-07,766,25万人次,医院数据库,2025-06-12 22:43:38
辽宁市第12中医医院,三级甲等,中医医院,1910,辽宁市东区,022-69933731,辽宁,1989-02-13,283,81万人次,医院数据库,2025-06-12 22:43:38
吉林市第1中医医院,二级乙等,中医医院,478,吉林市中心区,049-75517779,吉林,1987-05-26,1230,112万人次,医院数据库,2025-06-12 22:43:38
吉林市第2眼科医院,二级甲等,眼科医院,422,吉林市东区,040-41852604,吉林,2015-05-25,117,46万人次,医院数据库,2025-06-12 22:43:38
吉林市第3中医医院,三级甲等,中医医院,1838,吉林市北区,026-90462746,吉林,1958-10-08,2192,153万人次,医院数据库,2025-06-12 22:43:38
吉林市第4综合医院,二级乙等,综合医院,417,吉林市东区,012-59740436,吉林,1995-12-23,2697,105万人次,医院数据库,2025-06-12 22:43:38
吉林市第5妇产医院,一级甲等,妇产医院,268,吉林市北区,079-74867437,吉林,2010-05-10,2049,64万人次,医院数据库,2025-06-12 22:43:38
吉林市第6儿童医院,二级甲等,儿童医院,235,吉林市中心区,090-95409970,吉林,1999-11-25,2453,76万人次,医院数据库,2025-06-12 22:43:38
吉林市第7专科医院,二级乙等,专科医院,531,吉林市北区,087-32557008,吉林,2008-08-05,1993,75万人次,医院数据库,2025-06-12 22:43:38
吉林市第8专科医院,三级乙等,专科医院,632,吉林市北区,077-79849076,吉林,2003-01-20,2968,166万人次,医院数据库,2025-06-12 22:43:38
吉林市第9儿童医院,二级乙等,儿童医院,543,吉林市中心区,026-37369879,吉林,2001-06-28,440,150万人次,医院数据库,2025-06-12 22:43:38
吉林市第10妇产医院,一级甲等,妇产医院,151,吉林市北区,071-17660119,吉林,1999-07-09,2326,26万人次,医院数据库,2025-06-12 22:43:38
吉林市第11妇产医院,一级甲等,妇产医院,143,吉林市东区,056-40925286,吉林,2001-09-17,301,131万人次,医院数据库,2025-06-12 22:43:38
吉林市第12肿瘤医院,二级甲等,肿瘤医院,618,吉林市西区,040-79076612,吉林,2007-07-07,151,176万人次,医院数据库,2025-06-12 22:43:38
吉林市第13精神病医院,二级甲等,精神病医院,724,吉林市南区,046-30798945,吉林,2013-03-17,886,193万人次,医院数据库,2025-06-12 22:43:38
吉林市第14儿童医院,一级甲等,儿童医院,70,吉林市东区,034-72005571,吉林,2003-09-16,2662,190万人次,医院数据库,2025-06-12 22:43:38
吉林市第15专科医院,二级甲等,专科医院,480,吉林市东区,084-52374288,吉林,1982-01-10,223,98万人次,医院数据库,2025-06-12 22:43:38
吉林市第16肿瘤医院,三级乙等,肿瘤医院,533,吉林市北区,035-41540769,吉林,1982-12-18,198,27万人次,医院数据库,2025-06-12 22:43:38
吉林市第17妇产医院,二级甲等,妇产医院,615,吉林市中心区,084-28260210,吉林,1965-02-22,1903,111万人次,医院数据库,2025-06-12 22:43:38
吉林市第18中医医院,一级甲等,中医医院,297,吉林市东区,093-23713409,吉林,1978-11-16,1659,161万人次,医院数据库,2025-06-12 22:43:38
吉林市第19综合医院,二级乙等,综合医院,391,吉林市南区,094-12635280,吉林,1962-10-13,2025,46万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第1心血管医院,二级甲等,心血管医院,612,黑龙江市中心区,091-81900305,黑龙江,1963-11-17,1487,143万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第2中医医院,二级甲等,中医医院,631,黑龙江市西区,041-33411761,黑龙江,1980-02-27,1197,57万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第3儿童医院,二级甲等,儿童医院,799,黑龙江市中心区,098-24011338,黑龙江,1982-11-14,491,177万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第4儿童医院,三级甲等,儿童医院,1252,黑龙江市中心区,072-25939214,黑龙江,1950-08-20,1790,29万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第5专科医院,二级甲等,专科医院,605,黑龙江市北区,073-52822184,黑龙江,1957-12-17,2042,170万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第6精神病医院,二级甲等,精神病医院,522,黑龙江市北区,051-11089741,黑龙江,1950-01-02,2042,23万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第7中医医院,一级甲等,中医医院,118,黑龙江市西区,044-50361801,黑龙江,1984-04-02,2054,181万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第8心血管医院,三级乙等,心血管医院,755,黑龙江市中心区,054-29101053,黑龙江,1994-06-08,1326,77万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第9妇产医院,三级甲等,妇产医院,1198,黑龙江市南区,028-70523564,黑龙江,2011-12-22,2768,182万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第10精神病医院,三级甲等,精神病医院,1212,黑龙江市北区,022-53886796,黑龙江,1998-11-22,2628,98万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第11中医医院,三级乙等,中医医院,872,黑龙江市西区,015-58005461,黑龙江,1979-07-08,2948,190万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第12口腔医院,二级乙等,口腔医院,721,黑龙江市中心区,028-55222911,黑龙江,1994-11-24,1030,186万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第13肿瘤医院,二级乙等,肿瘤医院,255,黑龙江市中心区,092-80319752,黑龙江,1966-06-13,2146,167万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第14肿瘤医院,三级乙等,肿瘤医院,609,黑龙江市北区,048-41316975,黑龙江,2018-02-09,2506,36万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第15精神病医院,三级乙等,精神病医院,1093,黑龙江市北区,039-45824508,黑龙江,1986-06-13,414,30万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第16专科医院,二级甲等,专科医院,667,黑龙江市东区,065-40809495,黑龙江,1999-07-18,1621,88万人次,医院数据库,2025-06-12 22:43:38
黑龙江市第17精神病医院,三级乙等,精神病医院,942,黑龙江市南区,093-39497187,黑龙江,1987-01-08,1240,143万人次,医院数据库,2025-06-12 22:43:38
江西市第1专科医院,三级乙等,专科医院,923,江西市中心区,011-64605884,江西,1971-02-09,1773,10万人次,医院数据库,2025-06-12 22:43:38
江西市第2口腔医院,二级甲等,口腔医院,566,江西市南区,044-82732229,江西,1992-05-24,2422,83万人次,医院数据库,2025-06-12 22:43:38
江西市第3专科医院,一级甲等,专科医院,122,江西市西区,032-81964543,江西,1975-12-24,1039,86万人次,医院数据库,2025-06-12 22:43:38
江西市第4专科医院,三级甲等,专科医院,1708,江西市东区,026-63170028,江西,2008-08-05,974,182万人次,医院数据库,2025-06-12 22:43:38
江西市第5中医医院,一级甲等,中医医院,143,江西市北区,092-26580657,江西,2004-11-07,2991,105万人次,医院数据库,2025-06-12 22:43:38
江西市第6综合医院,一级甲等,综合医院,253,江西市东区,028-84628309,江西,1993-07-01,2556,158万人次,医院数据库,2025-06-12 22:43:38
江西市第7口腔医院,三级乙等,口腔医院,594,江西市南区,023-57260798,江西,2010-07-04,656,73万人次,医院数据库,2025-06-12 22:43:38
江西市第8精神病医院,三级甲等,精神病医院,1632,江西市中心区,074-21436863,江西,1969-05-18,2322,44万人次,医院数据库,2025-06-12 22:43:38
江西市第9妇产医院,二级甲等,妇产医院,433,江西市中心区,034-32938646,江西,2008-04-28,447,116万人次,医院数据库,2025-06-12 22:43:38
江西市第10综合医院,二级甲等,综合医院,422,江西市北区,031-23387914,江西,1973-09-21,1085,12万人次,医院数据库,2025-06-12 22:43:38
江西市第11眼科医院,三级乙等,眼科医院,843,江西市东区,035-51753932,江西,2002-01-06,2241,184万人次,医院数据库,2025-06-12 22:43:38
云南市第1综合医院,三级乙等,综合医院,572,云南市东区,052-11644902,云南,1971-05-05,1675,25万人次,医院数据库,2025-06-12 22:43:38
云南市第2眼科医院,一级甲等,眼科医院,69,云南市东区,091-35751337,云南,2020-05-10,136,76万人次,医院数据库,2025-06-12 22:43:38
云南市第3专科医院,三级乙等,专科医院,709,云南市西区,043-67931600,云南,2003-12-14,1723,150万人次,医院数据库,2025-06-12 22:43:38
云南市第4肿瘤医院,三级甲等,肿瘤医院,1843,云南市中心区,054-68731534,云南,1983-08-03,1957,98万人次,医院数据库,2025-06-12 22:43:38
云南市第5肿瘤医院,三级乙等,肿瘤医院,543,云南市东区,053-98678659,云南,1953-11-21,760,128万人次,医院数据库,2025-06-12 22:43:38
云南市第6妇产医院,二级甲等,妇产医院,796,云南市南区,087-12627632,云南,2006-10-13,1321,182万人次,医院数据库,2025-06-12 22:43:38
云南市第7中医医院,三级乙等,中医医院,714,云南市北区,042-45176948,云南,1979-06-28,1846,33万人次,医院数据库,2025-06-12 22:43:38
云南市第8肿瘤医院,二级乙等,肿瘤医院,221,云南市中心区,065-85615289,云南,2001-09-06,1672,151万人次,医院数据库,2025-06-12 22:43:38
云南市第9心血管医院,二级乙等,心血管医院,422,云南市北区,043-71541072,云南,2008-06-17,1645,66万人次,医院数据库,2025-06-12 22:43:38
云南市第10眼科医院,三级甲等,眼科医院,1692,云南市南区,095-35514203,云南,1976-01-02,141,94万人次,医院数据库,2025-06-12 22:43:38
云南市第11精神病医院,三级甲等,精神病医院,1362,云南市东区,042-85359308,云南,1990-09-27,2501,109万人次,医院数据库,2025-06-12 22:43:38
云南市第12专科医院,三级甲等,专科医院,1182,云南市北区,059-69777074,云南,2008-01-23,2592,60万人次,医院数据库,2025-06-12 22:43:38
云南市第13儿童医院,三级乙等,儿童医院,627,云南市中心区,036-45486852,云南,1975-03-25,537,182万人次,医院数据库,2025-06-12 22:43:38
