政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,数据来源,年份,更新时间
医疗卫生管理办法,医政发〔2020〕037号,2020-08-14,医疗卫生,国家医保局,2020-09-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2020〕032号,2020-09-10,医疗卫生,国家药监局,2020-10-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2020〕094号,2020-08-08,医疗卫生,国家药监局,2020-09-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,卫健发〔2020〕121号,2020-02-17,医疗卫生,国家卫健委,2020-03-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强医疗卫生管理的意见,药监发〔2020〕051号,2020-04-19,医疗卫生,国家卫健委,2020-05-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于医疗卫生工作的通知,药监发〔2020〕095号,2020-09-13,医疗卫生,国家卫健委,2020-10-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范医疗卫生的规定,国卫发〔2020〕113号,2020-10-23,医疗卫生,国家药监局,2020-11-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,卫健发〔2020〕110号,2020-05-15,医疗卫生,国家医保局,2020-06-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于加强药品管理管理的意见,药监发〔2020〕078号,2020-07-04,药品管理,国家医保局,2020-08-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强药品管理管理的意见,国卫发〔2020〕145号,2020-11-20,药品管理,国家医保局,2020-12-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,医政发〔2020〕032号,2020-07-16,药品管理,国家卫健委,2020-08-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2020〕059号,2020-07-18,药品管理,国家卫健委,2020-08-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,卫健发〔2020〕111号,2020-05-07,药品管理,国家药监局,2020-06-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
药品管理管理办法,药监发〔2020〕190号,2020-04-02,药品管理,国家卫健委,2020-05-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2020〕192号,2020-08-03,药品管理,国家医保局,2020-09-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,卫健发〔2020〕085号,2020-02-07,药品管理,国家卫健委,2020-03-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
药品管理管理办法,药监发〔2020〕127号,2020-11-04,药品管理,各省卫健委,2020-12-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
药品管理实施方案,卫健发〔2020〕099号,2020-02-10,药品管理,各省卫健委,2020-03-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医保政策管理办法,药监发〔2020〕001号,2020-02-28,医保政策,国家医保局,2020-03-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,医政发〔2020〕017号,2020-02-08,医保政策,各省卫健委,2020-03-01,市级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,医政发〔2020〕063号,2020-10-14,医保政策,国家医保局,2020-11-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于医保政策工作的通知,药监发〔2020〕096号,2020-06-24,医保政策,国家医保局,2020-07-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于规范医保政策的规定,药监发〔2020〕186号,2020-10-23,医保政策,国家药监局,2020-11-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,国卫发〔2020〕141号,2020-02-19,医保政策,国家卫健委,2020-03-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
医保政策实施方案,药监发〔2020〕182号,2020-02-05,医保政策,国家医保局,2020-03-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于加强医保政策管理的意见,国卫发〔2020〕139号,2020-04-22,医保政策,国家药监局,2020-05-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强医保政策管理的意见,卫健发〔2020〕038号,2020-12-01,医保政策,国家药监局,2020-01-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于公共卫生工作的通知,国卫发〔2020〕020号,2020-07-12,公共卫生,国家医保局,2020-08-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
公共卫生监督管理办法,医政发〔2020〕196号,2020-09-02,公共卫生,各省卫健委,2020-10-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
公共卫生实施方案,药监发〔2020〕047号,2020-02-12,公共卫生,国家医保局,2020-03-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范公共卫生的规定,药监发〔2020〕193号,2020-12-24,公共卫生,各省卫健委,2020-01-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
公共卫生管理办法,医政发〔2020〕174号,2020-10-02,公共卫生,国家药监局,2020-11-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于公共卫生工作的通知,医政发〔2020〕122号,2020-06-14,公共卫生,国家药监局,2020-07-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于公共卫生工作的通知,医政发〔2020〕047号,2020-10-27,公共卫生,国家药监局,2020-11-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
公共卫生管理办法,卫健发〔2020〕009号,2020-06-15,公共卫生,各省卫健委,2020-07-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于公共卫生工作的通知,国卫发〔2020〕130号,2020-05-17,公共卫生,各省卫健委,2020-06-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于医院管理工作的通知,卫健发〔2020〕101号,2020-08-23,医院管理,国家药监局,2020-09-01,市级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进医院管理发展的指导意见,卫健发〔2020〕041号,2020-02-06,医院管理,国家药监局,2020-03-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医院管理监督管理办法,卫健发〔2020〕168号,2020-06-04,医院管理,国家医保局,2020-07-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于加强医院管理管理的意见,卫健发〔2020〕197号,2020-11-14,医院管理,各省卫健委,2020-12-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医院管理监督管理办法,药监发〔2020〕186号,2020-11-03,医院管理,国家卫健委,2020-12-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于规范医院管理的规定,医政发〔2020〕163号,2020-08-18,医院管理,各省卫健委,2020-09-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
关于医师管理工作的通知,医政发〔2020〕032号,2020-01-09,医师管理,国家医保局,2020-02-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
医师管理管理办法,药监发〔2020〕104号,2020-11-18,医师管理,国家药监局,2020-12-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于加强医师管理管理的意见,药监发〔2020〕110号,2020-09-14,医师管理,国家医保局,2020-10-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
医师管理实施方案,药监发〔2020〕038号,2020-10-09,医师管理,国家卫健委,2020-11-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于规范医师管理的规定,国卫发〔2020〕124号,2020-03-06,医师管理,国家医保局,2020-04-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于医师管理工作的通知,卫健发〔2020〕143号,2020-02-18,医师管理,各省卫健委,2020-03-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于医师管理工作的通知,国卫发〔2020〕040号,2020-11-26,医师管理,各省卫健委,2020-12-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医师管理实施方案,国卫发〔2020〕076号,2020-06-02,医师管理,各省卫健委,2020-07-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
医师管理监督管理办法,医政发〔2020〕129号,2020-02-01,医师管理,各省卫健委,2020-03-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强护理管理管理的意见,卫健发〔2020〕075号,2020-12-16,护理管理,各省卫健委,2020-01-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
护理管理监督管理办法,医政发〔2020〕002号,2020-01-10,护理管理,国家药监局,2020-02-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
护理管理实施方案,卫健发〔2020〕065号,2020-08-21,护理管理,各省卫健委,2020-09-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,药监发〔2020〕043号,2020-02-18,护理管理,国家药监局,2020-03-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于护理管理工作的通知,卫健发〔2020〕191号,2020-03-17,护理管理,各省卫健委,2020-04-01,市级,试点地区,政策文件库,2020,2025-06-12 22:43:39
护理管理管理办法,药监发〔2020〕190号,2020-04-18,护理管理,国家卫健委,2020-05-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,卫健发〔2020〕003号,2020-03-01,护理管理,国家医保局,2020-04-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于护理管理工作的通知,药监发〔2020〕199号,2020-12-14,护理管理,国家药监局,2020-01-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
护理管理管理办法,国卫发〔2020〕121号,2020-06-10,护理管理,各省卫健委,2020-07-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
中医药监督管理办法,卫健发〔2020〕169号,2020-10-10,中医药,各省卫健委,2020-11-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进中医药发展的指导意见,卫健发〔2020〕063号,2020-08-16,中医药,国家药监局,2020-09-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
中医药管理办法,药监发〔2020〕092号,2020-10-19,中医药,国家卫健委,2020-11-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
中医药监督管理办法,卫健发〔2020〕155号,2020-02-07,中医药,国家卫健委,2020-03-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于中医药工作的通知,国卫发〔2020〕013号,2020-04-27,中医药,国家卫健委,2020-05-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进中医药发展的指导意见,国卫发〔2020〕164号,2020-12-21,中医药,国家医保局,2020-01-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范中医药的规定,卫健发〔2020〕002号,2020-05-14,中医药,国家卫健委,2020-06-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范中医药的规定,卫健发〔2020〕152号,2020-01-28,中医药,各省卫健委,2020-02-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于中医药工作的通知,医政发〔2020〕059号,2020-04-07,中医药,国家药监局,2020-05-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
中医药管理办法,国卫发〔2020〕196号,2020-04-05,中医药,国家药监局,2020-05-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于加强疾病防控管理的意见,卫健发〔2020〕184号,2020-01-19,疾病防控,各省卫健委,2020-02-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
疾病防控监督管理办法,国卫发〔2020〕071号,2020-01-17,疾病防控,国家医保局,2020-02-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
疾病防控监督管理办法,卫健发〔2020〕059号,2020-01-26,疾病防控,国家卫健委,2020-02-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
疾病防控实施方案,医政发〔2020〕198号,2020-06-24,疾病防控,各省卫健委,2020-07-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
疾病防控监督管理办法,卫健发〔2020〕151号,2020-07-24,疾病防控,各省卫健委,2020-08-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于健康促进工作的通知,药监发〔2020〕097号,2020-08-27,健康促进,国家卫健委,2020-09-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
健康促进管理办法,药监发〔2020〕054号,2020-11-14,健康促进,各省卫健委,2020-12-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
健康促进监督管理办法,医政发〔2020〕183号,2020-01-11,健康促进,国家卫健委,2020-02-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
健康促进管理办法,卫健发〔2020〕102号,2020-03-24,健康促进,国家医保局,2020-04-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
健康促进监督管理办法,医政发〔2020〕190号,2020-02-04,健康促进,国家卫健委,2020-03-01,市级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进健康促进发展的指导意见,国卫发〔2020〕125号,2020-12-15,健康促进,国家医保局,2020-01-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强健康促进管理的意见,医政发〔2020〕046号,2020-01-19,健康促进,国家医保局,2020-02-01,市级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范健康促进的规定,药监发〔2020〕110号,2020-06-26,健康促进,国家卫健委,2020-07-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于健康促进工作的通知,医政发〔2020〕171号,2020-12-23,健康促进,各省卫健委,2020-01-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
关于规范医疗卫生的规定,医政发〔2021〕087号,2021-12-01,医疗卫生,国家药监局,2021-01-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,药监发〔2021〕024号,2021-11-23,医疗卫生,国家卫健委,2021-12-01,市级,全国,政策文件库,2021,2025-06-12 22:43:39
医疗卫生实施方案,药监发〔2021〕003号,2021-05-02,医疗卫生,国家医保局,2021-06-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医疗卫生监督管理办法,国卫发〔2021〕090号,2021-08-13,医疗卫生,各省卫健委,2021-09-01,市级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于医疗卫生工作的通知,医政发〔2021〕043号,2021-12-09,医疗卫生,国家卫健委,2021-01-01,市级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于规范医疗卫生的规定,药监发〔2021〕016号,2021-10-21,医疗卫生,国家医保局,2021-11-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医疗卫生管理办法,国卫发〔2021〕056号,2021-06-14,医疗卫生,国家医保局,2021-07-01,市级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强医疗卫生管理的意见,医政发〔2021〕024号,2021-08-20,医疗卫生,国家药监局,2021-09-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于规范医疗卫生的规定,国卫发〔2021〕075号,2021-04-02,医疗卫生,国家医保局,2021-05-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
药品管理监督管理办法,医政发〔2021〕078号,2021-09-11,药品管理,国家医保局,2021-10-01,省级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于药品管理工作的通知,国卫发〔2021〕166号,2021-02-22,药品管理,国家医保局,2021-03-01,市级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,卫健发〔2021〕058号,2021-09-16,药品管理,国家药监局,2021-10-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于药品管理工作的通知,药监发〔2021〕085号,2021-05-23,药品管理,国家药监局,2021-06-01,市级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于药品管理工作的通知,医政发〔2021〕179号,2021-05-02,药品管理,国家药监局,2021-06-01,国家级,全国,政策文件库,2021,2025-06-12 22:43:39
关于规范药品管理的规定,医政发〔2021〕128号,2021-01-22,药品管理,各省卫健委,2021-02-01,市级,全国,政策文件库,2021,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,医政发〔2021〕127号,2021-03-05,药品管理,国家药监局,2021-04-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于药品管理工作的通知,医政发〔2021〕107号,2021-11-17,药品管理,国家卫健委,2021-12-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于药品管理工作的通知,药监发〔2021〕111号,2021-08-20,药品管理,国家医保局,2021-09-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于规范医保政策的规定,医政发〔2021〕177号,2021-07-25,医保政策,国家药监局,2021-08-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强医保政策管理的意见,卫健发〔2021〕140号,2021-09-16,医保政策,各省卫健委,2021-10-01,市级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,医政发〔2021〕009号,2021-10-13,医保政策,国家医保局,2021-11-01,国家级,全国,政策文件库,2021,2025-06-12 22:43:39
关于规范医保政策的规定,医政发〔2021〕014号,2021-12-16,医保政策,国家药监局,2021-01-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于医保政策工作的通知,国卫发〔2021〕129号,2021-05-10,医保政策,各省卫健委,2021-06-01,市级,全国,政策文件库,2021,2025-06-12 22:43:39
医保政策管理办法,药监发〔2021〕173号,2021-03-14,医保政策,国家卫健委,2021-04-01,省级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于加强医保政策管理的意见,卫健发〔2021〕104号,2021-12-18,医保政策,各省卫健委,2021-01-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
医保政策监督管理办法,医政发〔2021〕005号,2021-09-22,医保政策,国家医保局,2021-10-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于医保政策工作的通知,国卫发〔2021〕002号,2021-12-19,医保政策,各省卫健委,2021-01-01,市级,全国,政策文件库,2021,2025-06-12 22:43:39
公共卫生监督管理办法,医政发〔2021〕078号,2021-12-24,公共卫生,各省卫健委,2021-01-01,市级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于规范公共卫生的规定,卫健发〔2021〕084号,2021-08-18,公共卫生,国家医保局,2021-09-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强公共卫生管理的意见,卫健发〔2021〕180号,2021-01-23,公共卫生,国家卫健委,2021-02-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强公共卫生管理的意见,药监发〔2021〕121号,2021-04-17,公共卫生,国家药监局,2021-05-01,省级,试点地区,政策文件库,2021,2025-06-12 22:43:39
公共卫生管理办法,药监发〔2021〕030号,2021-06-21,公共卫生,国家药监局,2021-07-01,省级,试点地区,政策文件库,2021,2025-06-12 22:43:39
关于规范医院管理的规定,国卫发〔2021〕014号,2021-08-24,医院管理,国家卫健委,2021-09-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于医院管理工作的通知,药监发〔2021〕129号,2021-06-14,医院管理,国家卫健委,2021-07-01,省级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医院管理管理办法,药监发〔2021〕074号,2021-09-21,医院管理,国家卫健委,2021-10-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医院管理监督管理办法,国卫发〔2021〕104号,2021-01-07,医院管理,国家卫健委,2021-02-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强医院管理管理的意见,卫健发〔2021〕058号,2021-01-11,医院管理,各省卫健委,2021-02-01,市级,特定机构,政策文件库,2021,2025-06-12 22:43:39
关于医师管理工作的通知,医政发〔2021〕080号,2021-04-18,医师管理,国家药监局,2021-05-01,市级,试点地区,政策文件库,2021,2025-06-12 22:43:39
医师管理实施方案,卫健发〔2021〕088号,2021-09-08,医师管理,国家医保局,2021-10-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于医师管理工作的通知,国卫发〔2021〕117号,2021-08-19,医师管理,国家卫健委,2021-09-01,市级,试点地区,政策文件库,2021,2025-06-12 22:43:39
医师管理管理办法,医政发〔2021〕063号,2021-06-10,医师管理,各省卫健委,2021-07-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医师管理实施方案,国卫发〔2021〕141号,2021-07-26,医师管理,国家医保局,2021-08-01,国家级,特定机构,政策文件库,2021,2025-06-12 22:43:39
医师管理实施方案,国卫发〔2021〕199号,2021-08-03,医师管理,各省卫健委,2021-09-01,省级,全国,政策文件库,2021,2025-06-12 22:43:39
关于加强医师管理管理的意见,药监发〔2021〕114号,2021-02-15,医师管理,国家药监局,2021-03-01,国家级,试点地区,政策文件库,2021,2025-06-12 22:43:39
