研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词,数据来源,更新时间
麻醉学领域Meta分析研究第1项,麻醉学,Meta分析,BMJ,2023,5,8.85,598,中山大学,作者1,通讯作者1,国家重点研发计划,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域临床试验研究第2项,麻醉学,临床试验,New England Journal of Medicine,2023,9,7.46,1547,华中科技大学,作者2,通讯作者2,无,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域病例对照研究研究第3项,耳鼻喉科学,病例对照研究,中国医学科学院学报,2022,12,17.44,9762,清华大学,作者3,通讯作者3,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域病例对照研究研究第4项,精神病学,病例对照研究,Nature Medicine,2023,1,17.78,3943,清华大学,作者4,通讯作者4,国家自然科学基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域流行病学调查研究第5项,内分泌学,流行病学调查,New England Journal of Medicine,2022,10,6.99,2992,北京大学,作者5,通讯作者5,国家重点研发计划,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域病例对照研究研究第6项,肿瘤学,病例对照研究,Science,2021,5,14.3,7234,北京大学,作者6,通讯作者6,无,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域流行病学调查研究第7项,风湿免疫学,流行病学调查,Nature Medicine,2022,9,12.94,2535,中山大学,作者7,通讯作者7,国家自然科学基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例对照研究研究第8项,儿科学,病例对照研究,Cell,2021,9,5.59,9146,华中科技大学,作者8,通讯作者8,国家自然科学基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域临床试验研究第9项,眼科学,临床试验,Cell,2022,4,11.62,8624,复旦大学,作者9,通讯作者9,无,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域病例报告研究第10项,妇产科学,病例报告,JAMA,2020,4,10.68,2501,北京大学,作者10,通讯作者10,无,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域病例对照研究研究第11项,内分泌学,病例对照研究,Cell,2024,12,11.0,138,清华大学,作者11,通讯作者11,省部级基金,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域病例报告研究第12项,耳鼻喉科学,病例报告,Nature Medicine,2024,4,20.88,9308,复旦大学,作者12,通讯作者12,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
感染病学领域病例报告研究第13项,感染病学,病例报告,Cell,2020,10,17.47,4509,北京大学,作者13,通讯作者13,国家自然科学基金,"感染病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
感染病学领域流行病学调查研究第14项,感染病学,流行病学调查,中华医学杂志,2024,7,8.87,6991,复旦大学,作者14,通讯作者14,国家重点研发计划,"感染病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域流行病学调查研究第15项,影像医学,流行病学调查,中华医学杂志,2021,7,3.48,2837,清华大学,作者15,通讯作者15,省部级基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域队列研究研究第16项,麻醉学,队列研究,BMJ,2021,5,19.6,9877,复旦大学,作者16,通讯作者16,国家自然科学基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域Meta分析研究第17项,耳鼻喉科学,Meta分析,北京大学学报(医学版),2021,11,9.72,1519,华中科技大学,作者17,通讯作者17,无,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域病例对照研究研究第18项,耳鼻喉科学,病例对照研究,中华医学杂志,2020,10,21.0,2434,清华大学,作者18,通讯作者18,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域临床试验研究第19项,消化病学,临床试验,Cell,2021,8,11.0,1911,北京大学,作者19,通讯作者19,国家重点研发计划,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域流行病学调查研究第20项,麻醉学,流行病学调查,Science,2020,11,7.36,2784,华中科技大学,作者20,通讯作者20,省部级基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域病例对照研究研究第21项,口腔医学,病例对照研究,New England Journal of Medicine,2020,12,13.66,189,清华大学,作者21,通讯作者21,省部级基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域Meta分析研究第22项,精神病学,Meta分析,The Lancet,2020,3,3.99,9478,华中科技大学,作者22,通讯作者22,国家重点研发计划,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域Meta分析研究第23项,影像医学,Meta分析,中国医学科学院学报,2021,2,13.82,4672,北京大学,作者23,通讯作者23,无,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域基础研究研究第24项,外科学,基础研究,Nature Medicine,2021,8,17.48,1408,清华大学,作者24,通讯作者24,无,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域流行病学调查研究第25项,风湿免疫学,流行病学调查,Nature Medicine,2022,12,16.37,3200,中山大学,作者25,通讯作者25,无,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域流行病学调查研究第26项,肾脏病学,流行病学调查,Nature Medicine,2020,1,16.64,9745,北京大学,作者26,通讯作者26,国家自然科学基金,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域病例对照研究研究第27项,妇产科学,病例对照研究,复旦学报(医学版),2023,1,13.31,999,北京大学,作者27,通讯作者27,国家重点研发计划,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域队列研究研究第28项,麻醉学,队列研究,Cell,2022,11,6.85,8506,中山大学,作者28,通讯作者28,国家重点研发计划,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域流行病学调查研究第29项,消化病学,流行病学调查,中国医学科学院学报,2024,3,12.35,8502,清华大学,作者29,通讯作者29,无,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域病例对照研究研究第30项,心血管病学,病例对照研究,中华医学杂志,2020,9,17.33,709,北京大学,作者30,通讯作者30,无,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域Meta分析研究第31项,心血管病学,Meta分析,中国医学科学院学报,2023,6,10.92,3916,清华大学,作者31,通讯作者31,国家自然科学基金,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域病例报告研究第32项,肿瘤学,病例报告,BMJ,2022,7,16.73,3080,华中科技大学,作者32,通讯作者32,无,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域基础研究研究第33项,儿科学,基础研究,Cell,2021,7,21.45,5039,清华大学,作者33,通讯作者33,国家自然科学基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域流行病学调查研究第34项,儿科学,流行病学调查,New England Journal of Medicine,2021,3,17.01,3335,中山大学,作者34,通讯作者34,无,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域基础研究研究第35项,儿科学,基础研究,New England Journal of Medicine,2021,8,9.81,7054,中山大学,作者35,通讯作者35,省部级基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域病例对照研究研究第36项,影像医学,病例对照研究,Science,2022,2,17.42,9975,复旦大学,作者36,通讯作者36,国家自然科学基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
呼吸病学领域基础研究研究第37项,呼吸病学,基础研究,Nature Medicine,2020,9,9.55,9943,复旦大学,作者37,通讯作者37,国家重点研发计划,"呼吸病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域流行病学调查研究第38项,精神病学,流行病学调查,BMJ,2022,10,14.39,2635,复旦大学,作者38,通讯作者38,省部级基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域队列研究研究第39项,心血管病学,队列研究,中国医学科学院学报,2021,11,15.76,8733,北京大学,作者39,通讯作者39,无,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域病例报告研究第40项,皮肤病学,病例报告,JAMA,2022,3,11.89,4273,北京大学,作者40,通讯作者40,国家重点研发计划,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域队列研究研究第41项,耳鼻喉科学,队列研究,Cell,2023,6,9.31,6106,中山大学,作者41,通讯作者41,国家自然科学基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域流行病学调查研究第42项,眼科学,流行病学调查,Cell,2022,10,4.6,9848,中山大学,作者42,通讯作者42,无,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域队列研究研究第43项,妇产科学,队列研究,The Lancet,2020,6,15.46,3561,复旦大学,作者43,通讯作者43,无,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域基础研究研究第44项,儿科学,基础研究,北京大学学报(医学版),2023,7,20.38,7853,北京大学,作者44,通讯作者44,国家自然科学基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域流行病学调查研究第45项,血液病学,流行病学调查,复旦学报(医学版),2021,1,8.17,9655,复旦大学,作者45,通讯作者45,省部级基金,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域病例报告研究第46项,内分泌学,病例报告,The Lancet,2021,12,16.24,3184,复旦大学,作者46,通讯作者46,无,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
呼吸病学领域Meta分析研究第47项,呼吸病学,Meta分析,Nature Medicine,2023,12,4.76,155,北京大学,作者47,通讯作者47,无,"呼吸病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域临床试验研究第48项,皮肤病学,临床试验,中华医学杂志,2024,5,9.45,1313,中山大学,作者48,通讯作者48,国家重点研发计划,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域Meta分析研究第49项,心血管病学,Meta分析,北京大学学报(医学版),2024,11,19.01,5052,华中科技大学,作者49,通讯作者49,无,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域队列研究研究第50项,内分泌学,队列研究,北京大学学报(医学版),2021,6,21.1,1376,中山大学,作者50,通讯作者50,国家自然科学基金,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域病例对照研究研究第51项,口腔医学,病例对照研究,New England Journal of Medicine,2021,1,24.7,6927,清华大学,作者51,通讯作者51,国家自然科学基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域系统综述研究第52项,外科学,系统综述,Science,2020,1,22.51,3671,复旦大学,作者52,通讯作者52,国家重点研发计划,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域Meta分析研究第53项,内分泌学,Meta分析,The Lancet,2024,6,14.09,4310,北京大学,作者53,通讯作者53,省部级基金,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域系统综述研究第54项,麻醉学,系统综述,Nature Medicine,2022,3,18.87,6882,北京大学,作者54,通讯作者54,省部级基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域基础研究研究第55项,肿瘤学,基础研究,中华医学杂志,2024,5,23.33,3035,中山大学,作者55,通讯作者55,无,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域系统综述研究第56项,血液病学,系统综述,The Lancet,2020,7,18.69,1377,中山大学,作者56,通讯作者56,国家重点研发计划,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域Meta分析研究第57项,精神病学,Meta分析,Cell,2020,11,15.12,1926,复旦大学,作者57,通讯作者57,无,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域队列研究研究第58项,儿科学,队列研究,Cell,2020,7,17.4,8882,华中科技大学,作者58,通讯作者58,省部级基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域基础研究研究第59项,神经病学,基础研究,JAMA,2022,8,6.39,2894,清华大学,作者59,通讯作者59,无,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域病例报告研究第60项,外科学,病例报告,Cell,2023,12,21.24,793,中山大学,作者60,通讯作者60,省部级基金,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域临床试验研究第61项,妇产科学,临床试验,The Lancet,2020,10,11.96,7516,中山大学,作者61,通讯作者61,国家自然科学基金,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域队列研究研究第62项,影像医学,队列研究,北京大学学报(医学版),2022,5,19.39,6190,华中科技大学,作者62,通讯作者62,国家自然科学基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域流行病学调查研究第63项,肾脏病学,流行病学调查,Science,2024,12,14.99,8371,中山大学,作者63,通讯作者63,国家重点研发计划,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域系统综述研究第64项,眼科学,系统综述,中国医学科学院学报,2023,3,10.51,2771,清华大学,作者64,通讯作者64,省部级基金,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域病例报告研究第65项,神经病学,病例报告,Nature Medicine,2021,8,15.48,6317,华中科技大学,作者65,通讯作者65,无,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域流行病学调查研究第66项,肿瘤学,流行病学调查,中华医学杂志,2021,11,15.93,8286,复旦大学,作者66,通讯作者66,省部级基金,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域病例报告研究第67项,麻醉学,病例报告,JAMA,2023,10,4.09,3897,华中科技大学,作者67,通讯作者67,省部级基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域系统综述研究第68项,耳鼻喉科学,系统综述,Nature Medicine,2023,9,11.7,6157,北京大学,作者68,通讯作者68,国家自然科学基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例报告研究第69项,儿科学,病例报告,BMJ,2023,3,17.92,7678,华中科技大学,作者69,通讯作者69,省部级基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域队列研究研究第70项,内分泌学,队列研究,BMJ,2021,8,22.53,285,中山大学,作者70,通讯作者70,无,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域临床试验研究第71项,精神病学,临床试验,Science,2023,7,15.97,2374,华中科技大学,作者71,通讯作者71,省部级基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域系统综述研究第72项,消化病学,系统综述,Nature Medicine,2020,4,15.37,1859,清华大学,作者72,通讯作者72,省部级基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域病例对照研究研究第73项,外科学,病例对照研究,Nature Medicine,2023,10,4.44,9412,华中科技大学,作者73,通讯作者73,无,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域Meta分析研究第74项,妇产科学,Meta分析,Science,2023,12,11.55,2193,中山大学,作者74,通讯作者74,国家重点研发计划,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域系统综述研究第75项,妇产科学,系统综述,中国医学科学院学报,2021,11,3.55,3259,中山大学,作者75,通讯作者75,国家自然科学基金,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域队列研究研究第76项,外科学,队列研究,Cell,2024,6,24.5,2270,中山大学,作者76,通讯作者76,国家自然科学基金,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域流行病学调查研究第77项,妇产科学,流行病学调查,Nature Medicine,2022,3,16.3,3283,华中科技大学,作者77,通讯作者77,国家重点研发计划,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域临床试验研究第78项,风湿免疫学,临床试验,北京大学学报(医学版),2024,11,20.02,1022,北京大学,作者78,通讯作者78,无,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域临床试验研究第79项,血液病学,临床试验,Science,2023,4,8.79,3507,华中科技大学,作者79,通讯作者79,省部级基金,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域队列研究研究第80项,精神病学,队列研究,中华医学杂志,2023,9,14.89,1286,华中科技大学,作者80,通讯作者80,国家重点研发计划,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域临床试验研究第81项,外科学,临床试验,The Lancet,2020,5,12.78,1016,复旦大学,作者81,通讯作者81,国家重点研发计划,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域病例报告研究第82项,耳鼻喉科学,病例报告,Science,2023,9,23.41,5391,清华大学,作者82,通讯作者82,无,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域流行病学调查研究第83项,口腔医学,流行病学调查,复旦学报(医学版),2023,9,20.11,6749,中山大学,作者83,通讯作者83,国家自然科学基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域Meta分析研究第84项,影像医学,Meta分析,The Lancet,2020,8,13.16,7926,北京大学,作者84,通讯作者84,国家自然科学基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域病例报告研究第85项,心血管病学,病例报告,BMJ,2023,1,7.95,7418,复旦大学,作者85,通讯作者85,无,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域临床试验研究第86项,眼科学,临床试验,BMJ,2023,3,20.84,7828,华中科技大学,作者86,通讯作者86,国家重点研发计划,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域Meta分析研究第87项,神经病学,Meta分析,中华医学杂志,2022,7,6.22,4219,复旦大学,作者87,通讯作者87,国家重点研发计划,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域流行病学调查研究第88项,皮肤病学,流行病学调查,复旦学报(医学版),2023,8,16.18,1162,清华大学,作者88,通讯作者88,国家重点研发计划,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域病例对照研究研究第89项,消化病学,病例对照研究,Nature Medicine,2020,4,4.99,9236,中山大学,作者89,通讯作者89,国家重点研发计划,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域Meta分析研究第90项,精神病学,Meta分析,复旦学报(医学版),2020,6,22.1,2178,北京大学,作者90,通讯作者90,省部级基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
感染病学领域临床试验研究第91项,感染病学,临床试验,BMJ,2023,1,21.77,3132,清华大学,作者91,通讯作者91,无,"感染病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域基础研究研究第92项,消化病学,基础研究,New England Journal of Medicine,2024,2,5.99,7491,中山大学,作者92,通讯作者92,国家自然科学基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域Meta分析研究第93项,消化病学,Meta分析,Nature Medicine,2023,8,22.56,7894,中山大学,作者93,通讯作者93,省部级基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域临床试验研究第94项,风湿免疫学,临床试验,The Lancet,2024,9,12.81,2897,复旦大学,作者94,通讯作者94,国家自然科学基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域病例对照研究研究第95项,外科学,病例对照研究,Nature Medicine,2020,4,12.23,8859,复旦大学,作者95,通讯作者95,国家重点研发计划,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域系统综述研究第96项,精神病学,系统综述,JAMA,2024,4,2.23,2859,中山大学,作者96,通讯作者96,国家自然科学基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域流行病学调查研究第97项,妇产科学,流行病学调查,Science,2023,1,23.51,6738,北京大学,作者97,通讯作者97,省部级基金,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域队列研究研究第98项,妇产科学,队列研究,Nature Medicine,2023,7,7.01,7217,中山大学,作者98,通讯作者98,国家自然科学基金,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域病例对照研究研究第99项,皮肤病学,病例对照研究,The Lancet,2020,5,5.22,8353,清华大学,作者99,通讯作者99,国家自然科学基金,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域基础研究研究第100项,口腔医学,基础研究,The Lancet,2024,10,22.96,4470,北京大学,作者100,通讯作者100,省部级基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域临床试验研究第101项,口腔医学,临床试验,Nature Medicine,2022,12,22.68,504,华中科技大学,作者101,通讯作者101,国家重点研发计划,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
